rk,player,nation,squad,comp,season,age,born,ninety_mins_played,touches,def_pen_area_touches,def_third_touches,mid_third_touches,att_third_touches,att_pen_area_touches,live_ball_touches,take_ons_attempted,take_ons_successful,take_on_succ_pct,take_ons_tackled,take_on_tackled_pct,carries,total_distance_carried,progressive_carries_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,position,age_range,general_position,country,continent
844,Fali,ESP,Cádiz,La Liga,2021,27.0,1993.0,20.0,898,122,460,384,56,13,898,1,1,100.0,0,0.0,404,1971,1177,9,4,1,10,3,454,6,"DF,MF",25-29,Defender,Spain,Europe
853,Ansu Fati,ESP,Barcelona,La Liga,2021,18.0,2002.0,3.7,222,0,10,71,144,34,222,14,4,28.6,10,71.4,151,832,430,20,11,13,18,2,190,49,FW,Under 20,Forward,Spain,Europe
857,Aleix Febas,ESP,Mallorca,La Liga,2021,25.0,1996.0,1.3,70,2,8,50,13,2,70,3,1,33.3,2,66.7,32,178,103,1,0,0,3,1,48,1,MF,25-29,Midfielder,Spain,Europe
865,Kiko Femenía,ESP,Watford,Premier League,2021,30.0,1991.0,23.8,1431,101,455,569,418,11,1431,14,7,50.0,7,50.0,611,3099,1626,40,34,6,41,7,667,48,DF,30-34,Defender,Spain,Europe
870,Aitor Fernández,ESP,Levante,La Liga,2021,30.0,1991.0,13.0,415,356,411,4,0,0,415,0,0,,0,,207,1096,819,0,0,0,0,0,155,0,GK,30-34,Goalkeeper,Spain,Europe
870,Aitor Fernández,ESP,Levante,La Liga,2021,30.0,1991.0,13.0,415,356,411,4,0,0,415,0,0,,0,,207,1096,819,0,0,0,0,0,155,0,GK,30-34,Goalkeeper,Spain,Europe
870,Aitor Fernández,ESP,Levante,La Liga,2021,30.0,1991.0,13.0,415,356,411,4,0,0,415,0,0,,0,,207,1096,819,0,0,0,0,0,155,0,GK,30-34,Goalkeeper,Spain,Europe
870,Aitor Fernández,ESP,Levante,La Liga,2021,30.0,1991.0,13.0,415,356,411,4,0,0,415,0,0,,0,,207,1096,819,0,0,0,0,0,155,0,GK,30-34,Goalkeeper,Spain,Europe
871,Álex Fernández,ESP,Cádiz,La Liga,2021,28.0,1992.0,22.8,1272,53,272,729,290,26,1270,22,9,40.9,13,59.1,703,3890,2048,48,23,2,29,27,792,44,MF,25-29,Midfielder,Spain,Europe
872,Álvaro Fernández,ESP,Brentford,Premier League,2021,23.0,1998.0,12.0,546,422,540,6,0,0,546,0,0,,0,,340,1672,890,0,0,0,1,0,280,0,GK,20-24,Goalkeeper,Spain,Europe
