rk,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins,corner_kicks,inswinging_corners,outswinging_corners,straight_corners,passes_completed,passes_offside,passes_blocked,position,age_range,general_position,country,continent
2228,Arkadiusz Reca,POL,Spezia,Serie A,2021,26.0,1995.0,19.7,879,688,185,7,0,3,37,178,0,0,0,0,622,6,28,DF,25-29,Defender,Poland,Europe
2229,Lluís Recasens,ESP,Espanyol,La Liga,2021,19.0,2002.0,0.5,11,11,0,0,0,0,0,0,0,0,0,0,6,0,0,DF,Under 20,Defender,Spain,Europe
2231,Sergio Reguilón,ESP,Tottenham,Premier League,2021,24.0,1996.0,21.3,994,831,159,14,1,10,84,135,10,6,1,0,750,4,22,"DF,MF",20-24,Defender,Spain,Europe
2232,Manolo Reina,ESP,Mallorca,La Liga,2021,36.0,1985.0,21.0,646,362,279,91,0,2,0,0,0,0,0,0,412,5,0,GK,35-39,Goalkeeper,Spain,Europe
2233,Pepe Reina,ESP,Lazio,Serie A,2021,38.0,1982.0,15.0,528,398,130,30,0,1,0,1,0,0,0,0,433,0,0,GK,35-39,Goalkeeper,Spain,Europe
2237,Álex Remiro,ESP,Real Sociedad,La Liga,2021,26.0,1995.0,35.0,1259,904,352,111,0,2,0,0,0,0,0,0,949,3,0,GK,25-29,Goalkeeper,Spain,Europe
2256,Diego Rico,ESP,Real Sociedad,La Liga,2021,28.0,1993.0,18.3,1133,889,237,25,0,3,57,211,1,0,1,0,849,7,32,DF,25-29,Defender,Spain,Europe
2257,Sergio Rico,ESP,Mallorca,La Liga,2021,27.0,1993.0,14.0,360,221,139,49,0,1,0,0,0,0,0,0,245,0,0,GK,25-29,Goalkeeper,Spain,Europe
2258,Sergio Rico,ESP,Paris S-G,Ligue 1,2021,27.0,1993.0,0.3,7,6,1,1,0,0,0,0,0,0,0,0,5,0,0,GK,25-29,Goalkeeper,Spain,Europe
2263,Luis Rioja,ESP,Alavés,La Liga,2021,27.0,1993.0,34.6,932,853,72,30,5,0,170,17,25,8,14,0,560,7,52,"MF,FW",25-29,Midfielder,Spain,Europe
2269,Sergi Roberto,ESP,Barcelona,La Liga,2021,29.0,1992.0,4.4,257,240,17,7,0,0,9,10,0,0,0,0,230,0,3,"MF,DF",25-29,Midfielder,Spain,Europe
2274,Marc Roca,ESP,Bayern Munich,Bundesliga,2021,24.0,1996.0,4.2,289,280,9,4,4,2,5,1,4,0,4,0,252,0,4,MF,20-24,Midfielder,Spain,Europe
2275,Rubén Rochina,ESP,Granada,La Liga,2021,30.0,1991.0,8.3,383,338,40,17,3,15,36,4,17,8,4,0,259,5,12,"MF,FW",30-34,Midfielder,Spain,Europe
2281,Rodri,ESP,Manchester City,Premier League,2021,25.0,1996.0,32.0,2887,2837,44,37,4,25,9,7,0,0,0,0,2640,6,16,MF,25-29,Midfielder,Spain,Europe
2281,Rodri,ESP,Manchester City,Premier League,2021,25.0,1996.0,32.0,2887,2837,44,37,4,25,9,7,0,0,0,0,2640,6,16,MF,25-29,Midfielder,Spain,Europe
2281,Rodri,ESP,Manchester City,Premier League,2021,25.0,1996.0,32.0,2887,2837,44,37,4,25,9,7,0,0,0,0,2640,6,16,MF,25-29,Midfielder,Spain,Europe
2281,Rodri,ESP,Manchester City,Premier League,2021,25.0,1996.0,32.0,2887,2837,44,37,4,25,9,7,0,0,0,0,2640,6,16,MF,25-29,Midfielder,Spain,Europe
2282,Rodri,ESP,Betis,La Liga,2021,21.0,2000.0,9.8,415,410,5,2,5,2,10,2,1,0,0,0,337,0,10,FW,20-24,Forward,Spain,Europe
2282,Rodri,ESP,Betis,La Liga,2021,21.0,2000.0,9.8,415,410,5,2,5,2,10,2,1,0,0,0,337,0,10,FW,20-24,Forward,Spain,Europe
2282,Rodri,ESP,Betis,La Liga,2021,21.0,2000.0,9.8,415,410,5,2,5,2,10,2,1,0,0,0,337,0,10,FW,20-24,Forward,Spain,Europe
