rk,player,nation,squad,comp,season,age,born,ninety_mins_played,yellow_cards,red_cards,second_yellow_cards,fouls,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,position,age_range,general_position,country,continent
1414,Laurent Koscielny,FRA,Bordeaux,Ligue 1,2021,35.0,1985.0,10.4,2,0,0,11,9,0,0,12,9,0,1,0,65,15,3,83.3,DF,35-39,Defender,France,Europe
1415,Odilon Kossounou,CIV,Leverkusen,Bundesliga,2021,20.0,2001.0,19.9,3,0,0,15,7,0,5,26,17,0,1,0,140,30,26,53.6,DF,20-24,Defender,Ivory Coast,Africa
1417,Rominigue Kouamé,MLI,Troyes,Ligue 1,2021,24.0,1996.0,33.0,5,0,0,43,65,1,7,46,22,0,0,0,231,17,28,37.8,MF,20-24,Midfielder,Mali,Africa
1418,Kalidou Koulibaly,SEN,Napoli,Serie A,2021,30.0,1991.0,26.7,5,1,0,28,12,0,2,29,23,0,1,0,167,48,37,56.5,DF,30-34,Defender,Senegal,Africa
1419,Jules Koundé,FRA,Sevilla,La Liga,2021,22.0,1998.0,30.4,2,2,0,15,28,2,18,21,17,1,0,0,199,77,49,61.1,DF,20-24,Defender,France,Europe
1420,Christos Kourfalidis,GRE,Cagliari,Serie A,2021,18.0,2002.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,50.0,"MF,FW",Under 20,Midfielder,Greece,Europe
1422,Cheikhou Kouyaté,SEN,Crystal Palace,Premier League,2021,31.0,1989.0,21.9,3,0,0,30,21,0,4,38,38,0,0,0,136,50,29,63.3,MF,30-34,Midfielder,Senegal,Africa
1424,Viktor Kovalenko,UKR,Spezia,Serie A,2021,25.0,1996.0,14.7,4,0,0,15,20,0,24,13,10,1,1,0,80,13,20,39.4,MF,25-29,Midfielder,Ukraine,Europe
1425,Emil Krafth,SWE,Newcastle Utd,Premier League,2021,26.0,1994.0,18.2,5,0,0,22,11,0,21,25,16,0,0,0,94,22,29,43.1,DF,25-29,Defender,Sweden,Europe
1428,Christoph Kramer,GER,Gladbach,Bundesliga,2021,30.0,1991.0,8.3,1,0,0,11,5,0,4,12,11,0,0,0,67,11,10,52.4,MF,30-34,Midfielder,Germany,Europe
1429,Jean-Philippe Krasso,CIV,Saint-Étienne,Ligue 1,2021,24.0,1997.0,5.0,0,0,0,9,7,2,5,0,5,0,0,0,23,17,17,50.0,FW,20-24,Forward,Ivory Coast,Africa
1431,Toni Kroos,GER,Real Madrid,La Liga,2021,31.0,1990.0,23.4,4,0,0,20,39,0,86,12,26,0,0,0,125,8,10,44.4,MF,30-34,Midfielder,Germany,Europe
1433,Tim Krul,NED,Norwich City,Premier League,2021,33.0,1988.0,29.0,1,0,0,0,0,0,0,0,1,0,0,1,19,7,3,70.0,GK,30-34,Goalkeeper,Netherlands,Europe
1435,Max Kruse,GER,Wolfsburg,Bundesliga,2021,33.0,1988.0,12.5,0,0,0,2,12,5,27,3,3,1,0,0,56,10,16,38.5,"MF,FW",30-34,Midfielder,Germany,Europe
1436,Max Kruse,GER,Union Berlin,Bundesliga,2021,33.0,1988.0,14.1,1,0,0,5,6,1,48,3,1,0,0,0,46,14,25,35.9,"FW,MF",30-34,Forward,Germany,Europe
1437,Lukas Kübler,GER,Freiburg,Bundesliga,2021,28.0,1992.0,25.9,2,0,0,24,20,3,49,44,35,0,0,0,145,39,42,48.1,"DF,MF",25-29,Defender,Germany,Europe
1438,Takefusa Kubo,JPN,Mallorca,La Liga,2021,20.0,2001.0,17.8,4,0,0,17,47,5,51,8,19,0,0,0,101,11,14,44.0,"FW,MF",20-24,Forward,Japan,Asia
1439,Juraj Kucka,SVK,Watford,Premier League,2021,34.0,1987.0,21.3,5,1,1,46,49,2,16,27,39,0,1,1,158,56,47,54.4,MF,30-34,Midfielder,Slovakia,Europe
1441,Dejan Kulusevski,SWE,Tottenham,Premier League,2021,21.0,2000.0,14.0,3,0,0,20,15,4,25,13,13,0,0,0,75,3,8,27.3,"MF,FW",20-24,Midfielder,Sweden,Europe
1442,Dejan Kulusevski,SWE,Juventus,Serie A,2021,21.0,2000.0,8.6,1,0,0,29,10,3,8,5,12,0,0,0,48,9,12,42.9,"FW,MF",20-24,Forward,Sweden,Europe
1443,Marash Kumbulla,ALB,Roma,Serie A,2021,21.0,2000.0,11.4,6,0,0,22,11,0,2,16,13,0,0,0,65,22,14,61.1,DF,20-24,Defender,Albania,Europe
1444,Fabian Kunze,GER,Arminia,Bundesliga,2021,23.0,1998.0,14.0,9,0,0,38,21,0,10,19,21,0,0,0,106,37,32,53.6,MF,20-24,Midfielder,Germany,Europe
1448,Andrea La Mantia,ITA,Empoli,Serie A,2021,30.0,1991.0,5.4,0,0,0,6,6,3,1,1,0,1,0,0,11,27,17,61.4,"FW,MF",30-34,Forward,Italy,Europe
