player_id,Name,Height,Foot,Country_of_Birth,City_of_Birth,Continent_of_Birth
213751,Sebastian Schonlau,188.0,both,Germany,Warburg,Europe
213854,Cedric Gondo,187.0,right,Cote d'Ivoire,Divo,
214070,Ewerton,181.0,right,Unknown,So Paulo,
214532,Pierrick Capelle,181.0,left,France,Lesquin,Europe
214666,Connor Roberts,175.0,right,Wales,Neath,Europe
214775,Óliver Torres,175.0,right,Spain,Navalmoral de la Mata,Europe
214928,Kean Bryan,185.0,left,England,Manchester,Europe
215118,Calum Chambers,182.0,right,England,Petersfield,Europe
215599,Lukas Klostermann,189.0,right,Germany,Gevelsberg,Europe
215616,Erick Pulgar,187.0,right,Chile,Antofagasta,South America
215977,Adrien Thomasson,175.0,right,France,Bourg-Saint-Maurice,Europe
216179,Stefano Sensi,168.0,right,Italy,Urbino,Europe
216181,Almamy Touré,183.0,right,Unknown,Bamako,
216464,Carlos Fernández,185.0,left,Spain,Castilleja de Guzmn,Europe
216499,Fouad Chafik,183.0,right,France,Pierrelatte,Europe
216804,Joakim Nilsson,187.0,left,Sweden,Hrnsand,Europe
216870,Nacho Vidal,180.0,right,Spain,El Campello,Europe
216872,Francesco Zampano,177.0,right,Italy,Genova,Europe
217115,Neal Maupay,171.0,right,France,Versailles,Europe
217144,Aleix Febas,172.0,right,Spain,Lleida,Europe
218067,Jacopo Petriccione,176.0,right,Italy,Gorizia,Europe
218087,Ben Osborn,176.0,left,England,Derby,Europe
220878,Issiaga Sylla,180.0,left,Guinea,Conakry,Africa
221025,André Gomes,190.0,right,Portugal,Grij,Europe
221150,Djené,178.0,right,Togo,Lome Dapaong,Africa
221151,Jodel Dossou,171.0,right,Benin,Dassa-Zoum,Africa
221309,Óscar Plano,179.0,both,Spain,Mstoles,Europe
221311,Iván Sánchez,169.0,left,Spain,Jan,Europe
221315,Kevin Vázquez,175.0,right,Spain,Nigrn,Europe
221316,Lucas Vázquez,173.0,right,Spain,A Corua,Europe
