player_id,market_value_in_eur,player,competition_name,season,squad,decade
191217,35000000,Héctor Bellerín,La Liga,2018,Arsenal,2010s
192565,75000000,Leroy Sané,Bundesliga,2018,Manchester City,2010s
257097,18000000,Ben Davies,Premier League,2018,Tottenham,2010s
195652,8000000,Jordon Ibe,Premier League,2018,Bournemouth,2010s
197838,18000000,Jamie Vardy,Premier League,2018,Leicester City,2010s
199369,10000000,Sandro Ramírez,La Liga,2018,Real Sociedad,2010s
199527,7000000,Jacob Murphy,Premier League,2018,Newcastle Utd,2010s
200512,60000000,Sadio Mané,Bundesliga,2018,Liverpool,2010s
202886,8000000,Ruben Loftus-Cheek,Serie A,2018,Chelsea,2010s
202984,10000000,Roque Mesa,La Liga,2018,Sevilla,2010s
203026,2500000,Danny Ward,Premier League,2018,Cardiff City,2010s
203853,4500000,Oleksandr Zinchenko,Premier League,2018,Manchester City,2010s
206225,7000000,Isaac Hayden,Premier League,2018,Newcastle Utd,2010s
207014,10000000,Will Hughes,Premier League,2018,Watford,2010s
207929,80000000,Dele Alli,Serie A,2018,Tottenham,2010s
209212,3500000,Solly March,Premier League,2018,Brighton,2010s
209781,8000000,Oumar Niasse,Premier League,2018,Cardiff City,2010s
215118,14000000,Calum Chambers,Premier League,2018,Fulham,2010s
225083,60000000,N'Golo Kanté,Premier League,2018,Chelsea,2010s
234803,10000000,Andrew Robertson,Premier League,2018,Liverpool,2010s
238639,10000000,Steve Mounié,Bundesliga,2018,Huddersfield,2010s
241641,40000000,Bernardo Silva,Premier League,2018,Manchester City,2010s
242631,10000000,Alex Iwobi,Premier League,2018,Arsenal,2010s
243028,5000000,Jan Bednarek,Premier League,2018,Southampton,2010s
246968,8000000,Ayoze Pérez,La Liga,2018,Newcastle Utd,2010s
247555,5000000,Edimilson Fernandes,Ligue 1,2018,Fiorentina,2010s
249126,15000000,Harry Winks,Premier League,2018,Tottenham,2010s
256178,18000000,Joe Gomez,Premier League,2018,Liverpool,2010s
258889,8000000,Dominic Solanke,Premier League,2018,Bournemouth,2010s
274839,18000000,Wilfred Ndidi,Premier League,2018,Leicester City,2010s
281404,7000000,Kenedy,La Liga,2018,Newcastle Utd,2010s
285845,5000000,Ainsley Maitland-Niles,Ligue 1,2018,Arsenal,2010s
286384,35000000,Eric Bailly,La Liga,2018,Manchester Utd,2010s
292417,15000000,Demarai Gray,Premier League,2018,Leicester City,2010s
295330,15000000,Kelechi Iheanacho,Premier League,2018,Leicester City,2010s
295331,4000000,Isaac Success,Serie A,2018,Watford,2010s
306024,12000000,Dominic Calvert-Lewin,Premier League,2018,Everton,2010s
854853,15000000,Tom Davies,Premier League,2018,Everton,2010s
314353,8000000,Trent Alexander-Arnold,Premier League,2018,Liverpool,2010s
315131,7000000,Timothy Fosu-Mensah,Bundesliga,2018,Fulham,2010s
315969,1000000,Scott McTominay,Serie A,2018,Manchester Utd,2010s
316125,3000000,Ben Chilwell,Premier League,2018,Leicester City,2010s
320411,1000000,Philip Billing,Serie A,2018,Huddersfield,2010s
333241,1250000,Joelinton,Premier League,2018,Hoffenheim,2010s
357662,2000000,Declan Rice,Premier League,2018,West Ham,2010s
363205,70000000,Gabriel Jesus,Premier League,2018,Manchester City,2010s
402008,3000000,Amadou Haidara,Bundesliga,2018,RB Leipzig,2010s
406040,7000000,Ademola Lookman,Serie A,2018,Everton,2010s
406635,5000000,Phil Foden,Premier League,2018,Manchester City,2010s
480763,5000000,Juan Foyth,La Liga,2018,Tottenham,2010s
198116,2000000,Federico Dimarco,Serie A,2018,Parma,2010s
274862,5000000,Moses Simon,Ligue 1,2018,Levante,2010s
424051,4000000,Samuel Kalu,Premier League,2018,Bordeaux,2010s
245078,2500000,Nemanja Radonjić,La Liga,2018,Marseille,2010s
361914,550000,Nayef Aguerd,La Liga,2018,Dijon,2010s
14942,1000000,Darijo Srna,Serie A,2018,Cagliari,2010s
120443,10000000,Santiago Arias,La Liga,2018,Atltico Madrid,2010s
166240,8500000,Jürgen Locadia,Premier League,2018,Brighton,2010s
182574,2500000,Jean-Paul Boëtius,Bundesliga,2018,Mainz 05,2010s
330659,7500000,Justin Kluivert,Premier League,2018,Roma,2010s
337036,300000,Florent Muslija,Bundesliga,2018,Hannover 96,2010s
393325,150000,Josh Sargent,Premier League,2018,Werder Bremen,2010s
11268,250000,Oliver Fink,Bundesliga,2018,Dsseldorf,2010s
16311,1500000,Rouwen Hennings,Bundesliga,2018,Dsseldorf,2010s
40605,900000,Enrico Valentini,Bundesliga,2018,Nrnberg,2010s
51325,1000000,Georg Margreitter,Bundesliga,2018,Nrnberg,2010s
57091,1800000,Hanno Behrens,Bundesliga,2018,Nrnberg,2010s
