player_id,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_completed,passes_attempted,pass_completion_pct,total_pass_distance,progressive_pass_distance,short_passes_completed,short_passes_attempted,short_pass_completion_pct,medium_passes_completed,medium_passes_attempted,medium_pass_completion_pct,long_passes_completed,long_passes_attempted,long_pass_completion_pct,assists,xag,xa,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age_range,general_position,country,continent
193782,Lucas Alario,ARG,Leverkusen,Bundesliga,2020,27.0,1992.0,13.8,226,308,73.4,2804,292,152,188,80.9,49,64,76.6,9,16,56.3,2,0.9,0.6,1.1,15,15,3,0,21,FW,25-29,Forward,Argentina,South America
353032,Omar Alderete,PAR,Hertha BSC,Bundesliga,2020,23.0,1996.0,14.4,732,916,79.9,15862,7234,183,221,82.8,433,490,88.4,114,187,61.0,0,0.1,0.6,-0.1,3,44,4,1,55,DF,20-24,Defender,Paraguay,South America
314353,Trent Alexander-Arnold,ENG,Liverpool,Premier League,2020,21.0,1998.0,33.7,2245,3015,74.5,40719,15754,1064,1184,89.9,897,1145,78.3,256,545,47.0,7,8.6,7.5,-1.6,77,193,101,29,251,DF,20-24,Defender,England,Europe
1083070,Alisson,BRA,Liverpool,Premier League,2020,27.0,1992.0,33.0,1000,1157,86.4,22600,14023,223,225,99.1,578,590,98.0,191,330,57.9,0,0.0,0.0,0.0,0,4,1,0,1,GK,25-29,Goalkeeper,Brazil,South America
385271,Allan,BRA,Everton,Premier League,2020,29.0,1991.0,22.8,908,1068,85.0,14950,4370,430,468,91.9,354,405,87.4,82,116,70.7,0,0.8,0.8,-0.8,17,88,16,1,92,MF,25-29,Midfielder,Brazil,South America
207929,Dele Alli,ENG,Tottenham,Premier League,2020,24.0,1996.0,6.9,275,345,79.7,3878,882,151,177,85.3,99,109,90.8,9,20,45.0,1,1.2,0.9,-0.2,9,15,7,1,26,MF,20-24,Midfielder,England,Europe
476237,Steven Alzate,COL,Brighton,Premier League,2020,21.0,1998.0,10.0,403,449,89.8,6190,1326,216,235,91.9,142,150,94.7,30,35,85.7,0,0.6,0.3,-0.6,11,37,6,1,39,MF,20-24,Midfielder,Colombia,South America
205503,Ibrahim Amadou,FRA,Angers,Ligue 1,2020,27.0,1993.0,16.7,582,691,84.2,9479,3023,290,326,89.0,240,272,88.2,37,59,62.7,0,0.2,0.2,-0.2,4,52,1,0,63,MF,25-29,Midfielder,France,Europe
241229,Jordan Amavi,FRA,Marseille,Ligue 1,2020,26.0,1994.0,9.0,343,442,77.6,5892,1736,158,193,81.9,138,166,83.1,39,47,83.0,0,0.3,0.3,-0.3,5,11,6,2,25,DF,25-29,Defender,France,Europe
232454,Nadiem Amiri,GER,Leverkusen,Bundesliga,2020,23.0,1996.0,21.0,930,1139,81.7,15414,3793,464,512,90.6,325,377,86.2,102,168,60.7,6,3.1,3.7,2.9,38,96,27,3,113,MF,20-24,Midfielder,Germany,Europe
392771,Ethan Ampadu,WAL,Sheffield Utd,Premier League,2020,19.0,2000.0,23.2,870,1087,80.0,15680,5536,370,424,87.3,378,446,84.8,102,158,64.6,0,1.2,1.1,-1.2,11,76,14,2,100,"DF,MF",Under 20,Defender,Wales,Europe
147573,Sebastian Andersson,SWE,Kln,Bundesliga,2020,29.0,1991.0,12.5,168,247,68.0,2188,346,96,128,75.0,56,86,65.1,3,5,60.0,0,0.3,0.4,-0.3,6,15,4,1,20,FW,25-29,Forward,Sweden,Europe
84301,Benjamin Andr,FRA,Lille,Ligue 1,2020,29.0,1990.0,32.1,1703,2040,83.5,26480,7377,886,984,90.0,606,706,85.8,124,189,65.6,1,1.1,1.6,-0.1,22,194,7,4,200,MF,25-29,Midfielder,France,Europe
55854,Cristian Ansaldi,ARG,Torino,Serie A,2020,33.0,1986.0,21.6,674,997,67.6,12959,5276,308,350,88.0,242,345,70.1,106,248,42.7,6,5.0,4.8,1.0,36,64,40,34,66,"DF,FW",30-34,Defender,Argentina,South America
193004,Waldemar Anton,GER,Stuttgart,Bundesliga,2020,24.0,1996.0,30.1,1835,2097,87.5,34500,14015,630,678,92.9,1039,1118,92.9,147,243,60.5,1,0.9,1.1,0.1,9,69,10,3,116,DF,20-24,Defender,Germany,Europe
395693,Houssem Aouar,ALG,Lyon,Ligue 1,2020,22.0,1998.0,19.8,833,991,84.1,11684,3218,484,542,89.3,247,278,88.8,47,69,68.1,3,4.0,3.6,-1.0,38,91,29,0,130,"MF,FW",20-24,Midfielder,Algeria,Africa
569385,Adil Aouchiche,FRA,Saint-tienne,Ligue 1,2020,18.0,2002.0,19.2,571,818,69.8,10069,3336,307,364,84.3,152,213,71.4,85,181,47.0,5,5.8,4.0,-0.8,59,57,25,7,87,"MF,FW",Under 20,Midfielder,France,Europe
89701,Charles Arnguiz,CHI,Leverkusen,Bundesliga,2020,31.0,1989.0,18.5,998,1168,85.4,16391,5528,476,526,90.5,416,461,90.2,71,115,61.7,0,0.6,1.1,-0.6,15,113,13,0,119,MF,30-34,Midfielder,Chile,South America
435485,Luiz Arajo,BRA,Lille,Ligue 1,2020,24.0,1996.0,16.6,455,606,75.1,7916,2031,224,271,82.7,169,213,79.3,50,80,62.5,2,2.0,2.7,0.0,22,42,20,2,65,MF,20-24,Midfielder,Brazil,South America
