rk,player,nation,squad,comp,season,age,born,ninety_mins_played,ga,penalties_allowed,free_kick_goals_allowed,corner_goals_allowed,own_goals,post_shot_xg,post_shot_xg_on_target,post_shot_xg_minus_ga,post_shot_xg_minus_ga_per_90,passes_completed_plus_40_yards,passes_attempted_plus_40_yards,passes_pct_plus_40_yards,total_passes_attempted,throws_attempted,launch_pct,avg_pass_length,goal_kicks_attempted,goal_kick_launch_pct,avg_goal_kick_length,crosses_faced,crosses_stopped,crosses_stopped_pct,defensive_actions_outside_penalty_area,defensive_opa_per_90,avg_defensive_action_distance,position,age_range,general_position,country,continent
91,Karl-Johan Johnsson,SWE,Guingamp,Ligue 1,2018,28,1990,17.0,34,2,1,1,0,25.1,0.29,-8.9,-0.52,151,344,43.9,360,62,62.5,44.4,131,90.8,60.4,208,11,5.3,7,0.41,11.8,GK,25-29,Goalkeeper,Sweden,Europe
93,Stefanos Kapino,GRE,Werder Bremen,Bundesliga,2018,24,1994,0.5,1,0,0,0,0,0.5,0.18,-0.5,-0.98,0,4,0.0,13,7,23.1,28.5,3,33.3,39.7,8,0,0.0,0,0.00,12.0,GK,20-24,Goalkeeper,Greece,Europe
94,Orestis Karnezis,GRE,Napoli,Serie A,2018,33,1985,9.0,7,1,0,0,0,8.1,0.26,+1.1,+0.13,28,99,28.3,182,38,33.5,32.4,63,60.3,46.6,109,4,3.7,6,0.67,14.1,GK,30-34,Goalkeeper,Greece,Europe
95,Eiji Kawashima,JPN,Strasbourg,Ligue 1,2018,35,1983,1.0,0,0,0,0,0,0.1,0.14,+0.1,+0.14,13,27,48.1,25,7,48.0,40.0,15,100.0,66.8,17,1,5.9,0,0.00,10.3,GK,35-39,Goalkeeper,Japan,Asia
96,Gregor Kobel,SUI,Hoffenheim,Bundesliga,2018,20,1997,1.0,1,1,0,0,0,1.6,0.10,+0.6,+0.62,14,27,51.9,37,3,59.5,44.6,5,100.0,64.4,21,1,4.8,2,2.00,15.5,GK,20-24,Goalkeeper,Switzerland,Europe
97,Gregor Kobel,SUI,Augsburg,Bundesliga,2018,20,1997,15.4,42,1,1,5,1,34.6,0.36,-6.4,-0.42,74,221,33.5,407,71,38.1,33.4,119,55.5,45.7,216,10,4.6,16,1.04,14.6,GK,20-24,Goalkeeper,Switzerland,Europe
99,Thomas Kraft,GER,Hertha BSC,Bundesliga,2018,30,1988,3.5,9,2,0,0,0,6.8,0.32,-2.2,-0.62,40,81,49.4,93,7,58.1,38.8,30,90.0,56.1,40,2,5.0,1,0.29,13.3,GK,30-34,Goalkeeper,Germany,Europe
100,Alban Lafont,FRA,Fiorentina,Serie A,2018,19,1999,33.5,40,5,1,5,3,32.7,0.21,-4.3,-0.13,158,436,36.2,750,164,39.6,36.2,262,53.1,42.8,522,15,2.9,29,0.87,14.2,GK,Under 20,Goalkeeper,France,Europe
101,Benjamin Lecomte,FRA,Montpellier,Ligue 1,2018,27,1991,37.0,42,3,1,8,2,41.4,0.27,+1.4,+0.04,310,687,45.1,1003,180,51.0,39.9,277,63.2,47.8,495,24,4.8,39,1.05,13.7,GK,25-29,Goalkeeper,France,Europe
102,Bernd Leno,GER,Arsenal,Premier League,2018,26,1992,31.5,42,7,1,3,1,44.3,0.27,+3.3,+0.10,127,385,33.0,876,181,29.3,31.5,227,56.4,45.3,385,10,2.6,40,1.27,15.3,GK,25-29,Goalkeeper,Germany,Europe
103,Hugo Lloris,FRA,Tottenham,Premier League,2018,31,1986,33.0,33,3,1,5,3,39.2,0.27,+9.2,+0.28,164,408,40.2,956,161,29.5,32.2,252,50.0,42.2,454,13,2.9,36,1.09,14.9,GK,30-34,Goalkeeper,France,Europe
104,Anthony Lopes,POR,Lyon,Ligue 1,2018,27,1990,34.0,42,5,1,3,3,35.9,0.24,-3.1,-0.09,127,306,41.5,820,169,27.1,30.4,250,33.6,37.7,395,13,3.3,30,0.88,15.2,GK,25-29,Goalkeeper,Portugal,Europe
107,Jonas Lössl,DEN,Huddersfield,Premier League,2018,29,1989,30.9,54,4,1,6,0,42.1,0.27,-11.9,-0.39,275,631,43.6,880,97,52.3,40.7,223,76.7,55.6,345,24,7.0,29,0.94,13.3,GK,25-29,Goalkeeper,Denmark,Europe
108,Andriy Lunin,UKR,Leganés,La Liga,2018,19,1999,4.1,5,1,0,1,0,6.3,0.23,+1.3,+0.31,32,70,45.7,91,19,49.5,39.8,33,75.8,56.5,43,1,2.3,2,0.49,15.7,GK,Under 20,Goalkeeper,Ukraine,Europe
