rk,player,nation,squad,comp,season,age,born,mp,starts,min,ninety_mins_played,goals_against,ga_per_90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct,penalties_faced,penalties_allowed,penalties_saved,penalties_missed,penalty_save_pct,position,age_range,general_position,country,continent
80,Samir Handanović,SVN,Inter,Serie A,2018,34,1984,38,38,3420,38.0,33,0.87,127,97,76.4,20,9,9,17,44.7,5,3,0,2,0.0,GK,30-34,Goalkeeper,Slovenia,Europe
84,Iago Herrerín,ESP,Athletic Club,La Liga,2018,30,1988,31,31,2790,31.0,32,1.03,87,55,66.7,12,10,9,10,32.3,3,3,0,0,0.0,GK,30-34,Goalkeeper,Spain,Europe
88,Gorka Iraizoz,ESP,Girona,La Liga,2018,37,1981,7,6,558,6.2,10,1.61,39,30,79.5,1,0,5,1,16.7,2,2,0,0,0.0,GK,35-39,Goalkeeper,Spain,Europe
90,Rune Jarstein,NOR,Hertha BSC,Bundesliga,2018,33,1984,31,31,2745,30.5,48,1.57,143,96,67.8,9,10,12,8,25.8,4,2,1,1,33.3,GK,30-34,Goalkeeper,Norway,Europe
92,Aleksandar Jovanović,SRB,Huesca,La Liga,2018,25,1992,12,12,1080,12.0,19,1.58,46,28,63.0,1,4,7,0,0.0,2,2,0,0,0.0,GK,25-29,Goalkeeper,Serbia,Europe
98,Tomáš Koubek,CZE,Rennes,Ligue 1,2018,25,1992,33,32,2925,32.5,48,1.48,138,90,67.4,10,11,11,9,28.1,4,3,1,0,25.0,GK,25-29,Goalkeeper,Czech Republic,Europe
105,Diego López,ESP,Espanyol,La Liga,2018,36,1981,38,38,3420,38.0,50,1.32,167,117,73.7,14,11,13,10,26.3,8,6,2,0,25.0,GK,35-39,Goalkeeper,Spain,Europe
106,Pau López,ESP,Betis,La Liga,2018,23,1994,33,33,2970,33.0,47,1.42,134,86,67.2,12,7,14,10,30.3,4,3,1,0,25.0,GK,20-24,Goalkeeper,Spain,Europe
113,Jordi Masip,ESP,Valladolid,La Liga,2018,29,1989,35,35,3150,35.0,45,1.29,143,96,72.0,10,9,16,9,25.7,8,5,3,0,37.5,GK,25-29,Goalkeeper,Spain,Europe
118,Vanja Milinković-Savić,SRB,SPAL,Serie A,2018,21,1997,2,2,164,1.8,4,2.20,16,12,75.0,1,0,1,0,0.0,0,0,0,0,,GK,20-24,Goalkeeper,Serbia,Europe
129,Jan Oblak,SVN,Atlético Madrid,La Liga,2018,25,1993,37,37,3330,37.0,27,0.73,129,104,82.9,22,9,6,20,54.1,5,5,0,0,0.0,GK,25-29,Goalkeeper,Slovenia,Europe
130,Oier Olazábal,ESP,Levante,La Liga,2018,28,1989,21,21,1890,21.0,40,1.90,135,95,73.3,7,5,9,5,23.8,5,4,1,0,20.0,GK,25-29,Goalkeeper,Spain,Europe
135,Fernando Pacheco,ESP,Alavés,La Liga,2018,26,1992,35,35,3150,35.0,46,1.31,154,110,74.0,11,11,13,8,22.9,6,6,0,0,0.0,GK,25-29,Goalkeeper,Spain,Europe
137,Jiří Pavlenka,CZE,Werder Bremen,Bundesliga,2018,26,1992,34,34,2978,33.1,47,1.42,153,106,71.2,14,11,9,5,14.7,4,3,0,1,0.0,GK,25-29,Goalkeeper,Czech Republic,Europe
150,Pepe Reina,ESP,Milan,Serie A,2018,35,1982,4,2,328,3.7,5,1.37,14,9,71.4,1,0,1,1,50.0,1,1,0,0,0.0,GK,35-39,Goalkeeper,Spain,Europe
